delta,std,mean,variable,method,lower,upper,median
-3.0,0.0691600109574388,0.9514924282723533,order,taylor,0.8357475948290394,1.0672177327301542,0.9553207425826864
-3.0,0.04784137595860622,0.7402251377703232,order,ipw,0.6602339611565727,0.819486694121585,0.7408001481050888
-3.0,0.0,0.7361438598700253,order,true,0.7361438598700253,0.7361438598700253,
-2.9393939393939394,0.06751915033695814,0.9359092789322793,order,taylor,0.8226029744932861,1.0489415166201137,0.9396568279538782
-2.9393939393939394,0.047430561305775686,0.7372491456665196,order,ipw,0.6579498459676616,0.8158743848488335,0.7377947966747918
-2.9393939393939394,0.0,0.7331680998451736,order,true,0.7331680998451736,0.7331680998451736,
-2.878787878787879,0.06589880560553439,0.9206151448994736,order,taylor,0.8097301248480836,1.0309832602930071,0.9242787520508481
-2.878787878787879,0.04700176228178552,0.73414517106268,order,ipw,0.6555687898471569,0.8121038731023453,0.7346596631985081
-2.878787878787879,0.0,0.7302175235593964,order,true,0.7302175235593964,0.7302175235593964,
-2.8181818181818183,0.06429893411419134,0.9056100261739359,order,taylor,0.7971290458934319,1.0133407315569611,0.9091758540945238
-2.8181818181818183,0.04655460347136082,0.7309109499234302,order,ipw,0.6532063995694021,0.8081685377973773,0.7313924045321281
-2.8181818181818183,0.0,0.7268755469900081,order,true,0.7268755469900081,0.7268755469900081,
-2.757575757575758,0.06271949645862318,0.8908939227556665,order,taylor,0.7847997376293311,0.9960074073050201,0.8943177456111131
-2.757575757575758,0.04608874594251881,0.7275445465751619,order,ipw,0.6507950701777323,0.8040627291651183,0.727989372570695
-2.757575757575758,0.0,0.7232887740933659,order,true,0.7232887740933659,0.7232887740933659,
-2.696969696969697,0.06116045703536258,0.8764668346446649,order,taylor,0.773000613004581,0.978992105099155,0.8797605953681105
-2.696969696969697,0.04560389239283058,0.7240443975230698,order,ipw,0.6482878167740078,0.7997899702721968,0.7244004044658874
-2.696969696969697,0.0,0.7198434099884443,order,true,0.7198434099884443,0.7198434099884443,
-2.6363636363636362,0.05962178466714658,0.8623287618409318,order,taylor,0.7616746690938289,0.9619691852444919,0.8655044033655162
-2.6363636363636362,0.04509979247090077,0.720409356767397,order,ipw,0.6456928419011525,0.7953483596837257,0.7206726654535525
-2.6363636363636362,0.0,0.7168080893115508,order,true,0.7168080893115508,0.7168080893115508,
-2.5757575757575757,0.05810345330612049,0.8484797043444666,order,taylor,0.7506249256505192,0.945284961092044,0.85154916960333
-2.5757575757575757,0.0445762482356604,0.716638742253238,order,ipw,0.6430033422894716,0.7906594496016633,0.7168391395098045
-2.5757575757575757,0.0,0.7128474984574003,order,true,0.7128474984574003,0.7128474984574003,
